Year,Age,Level,Employer,Role,Coach
2007,55,NFL,New England Patriots,Head Coach,Bill Belichick
2008,56,NFL,New England Patriots,Head Coach,Bill Belichick
2009,57,NFL,New England Patriots,Head Coach,Bill Belichick
2010,58,NFL,New England Patriots,Head Coach,Bill Belichick
2011,59,NFL,New England Patriots,Head Coach,Bill Belichick
2012,60,NFL,New England Patriots,Head Coach,Bill Belichick
2013,61,NFL,New England Patriots,Head Coach,Bill Belichick
2014,62,NFL,New England Patriots,Head Coach,Bill Belichick
2015,63,NFL,New England Patriots,Head Coach,Bill Belichick
2016,64,NFL,New England Patriots,Head Coach,Bill Belichick
2017,65,NFL,New England Patriots,Head Coach,Bill Belichick
2018,66,NFL,New England Patriots,Head Coach,Bill Belichick
2019,67,NFL,New England Patriots,Head Coach,Bill Belichick
2020,68,NFL,New England Patriots,Head Coach,Bill Belichick
2021,69,NFL,New England Patriots,Head Coach,Bill Belichick
2022,70,NFL,New England Patriots,Head Coach,Bill Belichick
1982,24,College (FBS),Brigham Young,Graduate Assistant,Andy Reid
1983,25,College (NCAA D-II),San Francisco State,Offensive Coordinator/Offensive Line,Andy Reid
1984,26,College (NCAA D-II),San Francisco State,Offensive Coordinator/Offensive Line,Andy Reid
1985,27,College (NCAA D-II),San Francisco State,Offensive Coordinator/Offensive Line,Andy Reid
1986,28,College (FCS),Northern Arizona,Offensive Line,Andy Reid
1987,29,College (FBS),UTEP,Offensive Line,Andy Reid
1988,30,College (FBS),UTEP,Offensive Line,Andy Reid
1989,31,College (FBS),Missouri,Offensive Line,Andy Reid
1990,32,College (FBS),Missouri,Offensive Line,Andy Reid
1991,33,College (FBS),Missouri,Offensive Line,Andy Reid
1992,34,NFL,Green Bay Packers,Tight Ends/Asst. Offensive Line,Andy Reid
1993,35,NFL,Green Bay Packers,Tight Ends/Asst. Offensive Line,Andy Reid
1994,36,NFL,Green Bay Packers,Tight Ends/Asst. Offensive Line,Andy Reid
1995,37,NFL,Green Bay Packers,Tight Ends/Asst. Offensive Line,Andy Reid
1996,38,NFL,Green Bay Packers,Tight Ends/Asst. Offensive Line,Andy Reid
1997,39,NFL,Green Bay Packers,Quarterbacks,Andy Reid
1998,40,NFL,Green Bay Packers,Quarterbacks,Andy Reid
1999,41,NFL,Philadelphia Eagles,Head Coach,Andy Reid
2000,42,NFL,Philadelphia Eagles,Head Coach,Andy Reid
2001,43,NFL,Philadelphia Eagles,Head Coach,Andy Reid
2002,44,NFL,Philadelphia Eagles,Head Coach,Andy Reid
2003,45,NFL,Philadelphia Eagles,Head Coach,Andy Reid
2004,46,NFL,Philadelphia Eagles,Head Coach,Andy Reid
2005,47,NFL,Philadelphia Eagles,Head Coach,Andy Reid
2006,48,NFL,Philadelphia Eagles,Head Coach,Andy Reid
2007,49,NFL,Philadelphia Eagles,Head Coach,Andy Reid
2008,50,NFL,Philadelphia Eagles,Head Coach,Andy Reid
2009,51,NFL,Philadelphia Eagles,Head Coach,Andy Reid
2010,52,NFL,Philadelphia Eagles,Head Coach,Andy Reid
2011,53,NFL,Philadelphia Eagles,Head Coach,Andy Reid
2012,54,NFL,Philadelphia Eagles,Head Coach,Andy Reid
2013,55,NFL,Kansas City Chiefs,Head Coach,Andy Reid
2014,56,NFL,Kansas City Chiefs,Head Coach,Andy Reid
2015,57,NFL,Kansas City Chiefs,Head Coach,Andy Reid
2016,58,NFL,Kansas City Chiefs,Head Coach,Andy Reid
2017,59,NFL,Kansas City Chiefs,Head Coach,Andy Reid
2018,60,NFL,Kansas City Chiefs,Head Coach,Andy Reid
2019,61,NFL,Kansas City Chiefs,Head Coach,Andy Reid
2020,62,NFL,Kansas City Chiefs,Head Coach,Andy Reid
2021,63,NFL,Kansas City Chiefs,Head Coach,Andy Reid
2022,64,NFL,Kansas City Chiefs,Head Coach,Andy Reid
1995,23,College (FCS),VMI,Wide Receivers,Mike Tomlin
1996,24,College (FBS),Memphis,Graduate Assistant,Mike Tomlin
1997,25,College (FBS),Arkansas State,Wide Receivers,Mike Tomlin
1998,26,College (FBS),Arkansas State,Defensive Backs,Mike Tomlin
1999,27,College (FBS),Cincinnati,Defensive Backs,Mike Tomlin
2000,28,College (FBS),Cincinnati,Defensive Backs,Mike Tomlin
2001,29,NFL,Tampa Bay Buccaneers,Defensive Backs,Mike Tomlin
2002,30,NFL,Tampa Bay Buccaneers,Defensive Backs,Mike Tomlin
2003,31,NFL,Tampa Bay Buccaneers,Defensive Backs,Mike Tomlin
2004,32,NFL,Tampa Bay Buccaneers,Defensive Backs,Mike Tomlin
2005,33,NFL,Tampa Bay Buccaneers,Defensive Backs,Mike Tomlin
2006,34,NFL,Minnesota Vikings,Defensive Coordinator,Mike Tomlin
2007,35,NFL,Pittsburgh Steelers,Head Coach,Mike Tomlin
2008,36,NFL,Pittsburgh Steelers,Head Coach,Mike Tomlin
2009,37,NFL,Pittsburgh Steelers,Head Coach,Mike Tomlin
2010,38,NFL,Pittsburgh Steelers,Head Coach,Mike Tomlin
2011,39,NFL,Pittsburgh Steelers,Head Coach,Mike Tomlin
2012,40,NFL,Pittsburgh Steelers,Head Coach,Mike Tomlin
2013,41,NFL,Pittsburgh Steelers,Head Coach,Mike Tomlin
2014,42,NFL,Pittsburgh Steelers,Head Coach,Mike Tomlin
2015,43,NFL,Pittsburgh Steelers,Head Coach,Mike Tomlin
2016,44,NFL,Pittsburgh Steelers,Head Coach,Mike Tomlin
2017,45,NFL,Pittsburgh Steelers,Head Coach,Mike Tomlin
2018,46,NFL,Pittsburgh Steelers,Head Coach,Mike Tomlin
2019,47,NFL,Pittsburgh Steelers,Head Coach,Mike Tomlin
2020,48,NFL,Pittsburgh Steelers,Head Coach,Mike Tomlin
2021,49,NFL,Pittsburgh Steelers,Head Coach,Mike Tomlin
2022,50,NFL,Pittsburgh Steelers,Head Coach,Mike Tomlin
1973,22,College (FBS),Pacific,Graduate Assistant,Pete Carroll
1974,23,College (FBS),Pacific,Graduate Assistant,Pete Carroll
1975,24,College (FBS),Pacific,Graduate Assistant,Pete Carroll
1976,25,College (FBS),Pacific,Graduate Assistant,Pete Carroll
1977,26,College (FBS),Arkansas,Graduate Assistant,Pete Carroll
1978,27,College (FBS),Iowa State,Secondary Coordinator,Pete Carroll
1979,28,College (FBS),Ohio State,Secondary Coordinator,Pete Carroll
1980,29,College (FBS),NC State,Defensive Coordinator,Pete Carroll
1981,30,College (FBS),NC State,Defensive Coordinator,Pete Carroll
1982,31,College (FBS),NC State,Defensive Coordinator,Pete Carroll
1983,32,College (FBS),Pacific,Offensive Coordinator,Pete Carroll
1984,33,NFL,Buffalo Bills,Defensive Backs,Pete Carroll
1985,34,NFL,Minnesota Vikings,Defensive Backs,Pete Carroll
1986,35,NFL,Minnesota Vikings,Defensive Backs,Pete Carroll
1987,36,NFL,Minnesota Vikings,Defensive Backs,Pete Carroll
1988,37,NFL,Minnesota Vikings,Defensive Backs,Pete Carroll
1989,38,NFL,Minnesota Vikings,Defensive Backs,Pete Carroll
1990,39,NFL,New York Jets,Defensive Coordinator,Pete Carroll
1991,40,NFL,New York Jets,Defensive Coordinator,Pete Carroll
1992,41,NFL,New York Jets,Defensive Coordinator,Pete Carroll
1993,42,NFL,New York Jets,Defensive Coordinator,Pete Carroll
1994,43,NFL,New York Jets,Head Coach,Pete Carroll
1995,44,NFL,San Francisco 49ers,Defensive Coordinator,Pete Carroll
1996,45,NFL,San Francisco 49ers,Defensive Coordinator,Pete Carroll
1997,46,NFL,New England Patriots,Head Coach,Pete Carroll
1998,47,NFL,New England Patriots,Head Coach,Pete Carroll
1999,48,NFL,New England Patriots,Head Coach,Pete Carroll
2001,50,College (FBS),USC,Head Coach,Pete Carroll
2002,51,College (FBS),USC,Head Coach,Pete Carroll
2003,52,College (FBS),USC,Head Coach,Pete Carroll
2004,53,College (FBS),USC,Head Coach,Pete Carroll
2005,54,College (FBS),USC,Head Coach,Pete Carroll
2006,55,College (FBS),USC,Head Coach,Pete Carroll
2007,56,College (FBS),USC,Head Coach,Pete Carroll
2008,57,College (FBS),USC,Head Coach,Pete Carroll
2009,58,College (FBS),USC,Head Coach,Pete Carroll
2010,59,NFL,Seattle Seahawks,Head Coach,Pete Carroll
2011,60,NFL,Seattle Seahawks,Head Coach,Pete Carroll
2012,61,NFL,Seattle Seahawks,Head Coach,Pete Carroll
2013,62,NFL,Seattle Seahawks,Head Coach,Pete Carroll
2014,63,NFL,Seattle Seahawks,Head Coach,Pete Carroll
2015,64,NFL,Seattle Seahawks,Head Coach,Pete Carroll
2016,65,NFL,Seattle Seahawks,Head Coach,Pete Carroll
2017,66,NFL,Seattle Seahawks,Head Coach,Pete Carroll
2018,67,NFL,Seattle Seahawks,Head Coach,Pete Carroll
2019,68,NFL,Seattle Seahawks,Head Coach,Pete Carroll
2020,69,NFL,Seattle Seahawks,Head Coach,Pete Carroll
2021,70,NFL,Seattle Seahawks,Head Coach,Pete Carroll
2022,71,NFL,Seattle Seahawks,Head Coach,Pete Carroll
1988,25,College (FBS),San Diego State,Offensive Assistant,Sean Payton
1989,26,College (FBS),San Diego State,Offensive Assistant,Sean Payton
1990,27,College (FCS),Indiana State,Running Backs,Sean Payton
1991,28,College (FCS),Indiana State,Running Backs,Sean Payton
1992,29,College (FBS),San Diego State,Running Backs,Sean Payton
1993,30,College (FBS),San Diego State,Running Backs,Sean Payton
1994,31,College (FBS),Miami (OH),Offensive Coordinator,Sean Payton
1995,32,College (FBS),Miami (OH),Offensive Coordinator,Sean Payton
1996,33,College (FBS),Illinois,Quarterbacks,Sean Payton
1997,34,NFL,Philadelphia Eagles,Quarterbacks,Sean Payton
1998,35,NFL,Philadelphia Eagles,Quarterbacks,Sean Payton
1999,36,NFL,New York Giants,Quarterbacks,Sean Payton
2000,37,NFL,New York Giants,Offensive Coordinator,Sean Payton
2001,38,NFL,New York Giants,Offensive Coordinator,Sean Payton
2002,39,NFL,New York Giants,Offensive Coordinator,Sean Payton
2003,40,NFL,Dallas Cowboys,Asst. Head Coach/Quarterbacks,Sean Payton
2004,41,NFL,Dallas Cowboys,Asst. Head Coach/Quarterbacks,Sean Payton
2005,42,NFL,Dallas Cowboys,Asst. Head Coach/Passing Game Coordinator,Sean Payton
2006,43,NFL,New Orleans Saints,Head Coach,Sean Payton
2007,44,NFL,New Orleans Saints,Head Coach,Sean Payton
2008,45,NFL,New Orleans Saints,Head Coach,Sean Payton
2009,46,NFL,New Orleans Saints,Head Coach,Sean Payton
2010,47,NFL,New Orleans Saints,Head Coach,Sean Payton
2011,48,NFL,New Orleans Saints,Head Coach,Sean Payton
2012,49,6th Grade,Liberty Christian (TX),Offensive Coordinator,Sean Payton
2012,49,NFL,New Orleans Saints,Head Coach (Suspended for 2012 season),Sean Payton
2013,50,NFL,New Orleans Saints,Head Coach,Sean Payton
2014,51,NFL,New Orleans Saints,Head Coach,Sean Payton
2015,52,NFL,New Orleans Saints,Head Coach,Sean Payton
2016,53,NFL,New Orleans Saints,Head Coach,Sean Payton
2017,54,NFL,New Orleans Saints,Head Coach,Sean Payton
2018,55,NFL,New Orleans Saints,Head Coach,Sean Payton
2019,56,NFL,New Orleans Saints,Head Coach,Sean Payton
2020,57,NFL,New Orleans Saints,Head Coach,Sean Payton
2021,58,NFL,New Orleans Saints,Head Coach,Sean Payton
1987,24,College (NCAA D-II),Fort Hays State,Graduate Assistant,Mike McCarthy
1988,25,College (NCAA D-II),Fort Hays State,Graduate Assistant,Mike McCarthy
1989,26,College (FBS),Pittsburgh,Graduate Assistant,Mike McCarthy
1990,27,College (FBS),Pittsburgh,Graduate Assistant,Mike McCarthy
1991,28,College (FBS),Pittsburgh,Graduate Assistant,Mike McCarthy
1992,29,College (FBS),Pittsburgh,Wide Receivers,Mike McCarthy
1993,30,NFL,Kansas City Chiefs,Offensive Quality Control,Mike McCarthy
1994,31,NFL,Kansas City Chiefs,Offensive Quality Control,Mike McCarthy
1995,32,NFL,Kansas City Chiefs,Quarterbacks,Mike McCarthy
1996,33,NFL,Kansas City Chiefs,Quarterbacks,Mike McCarthy
1997,34,NFL,Kansas City Chiefs,Quarterbacks,Mike McCarthy
1998,35,NFL,Kansas City Chiefs,Quarterbacks,Mike McCarthy
1999,36,NFL,Green Bay Packers,Quarterbacks,Mike McCarthy
2000,37,NFL,New Orleans Saints,Offensive Coordinator,Mike McCarthy
2001,38,NFL,New Orleans Saints,Offensive Coordinator,Mike McCarthy
2002,39,NFL,New Orleans Saints,Offensive Coordinator,Mike McCarthy
2003,40,NFL,New Orleans Saints,Offensive Coordinator,Mike McCarthy
2004,41,NFL,New Orleans Saints,Offensive Coordinator,Mike McCarthy
2005,42,NFL,San Francisco 49ers,Offensive Coordinator,Mike McCarthy
2006,43,NFL,Green Bay Packers,Head Coach,Mike McCarthy
2007,44,NFL,Green Bay Packers,Head Coach,Mike McCarthy
2008,45,NFL,Green Bay Packers,Head Coach,Mike McCarthy
2009,46,NFL,Green Bay Packers,Head Coach,Mike McCarthy
2010,47,NFL,Green Bay Packers,Head Coach,Mike McCarthy
2011,48,NFL,Green Bay Packers,Head Coach,Mike McCarthy
2012,49,NFL,Green Bay Packers,Head Coach,Mike McCarthy
2013,50,NFL,Green Bay Packers,Head Coach,Mike McCarthy
2014,51,NFL,Green Bay Packers,Head Coach,Mike McCarthy
2015,52,NFL,Green Bay Packers,Head Coach,Mike McCarthy
2016,53,NFL,Green Bay Packers,Head Coach,Mike McCarthy
2017,54,NFL,Green Bay Packers,Head Coach,Mike McCarthy
2018,55,NFL,Green Bay Packers,Head Coach,Mike McCarthy
2020,57,NFL,Dallas Cowboys,Head Coach,Mike McCarthy
2021,58,NFL,Dallas Cowboys,Head Coach,Mike McCarthy
2022,59,NFL,Dallas Cowboys,Head Coach,Mike McCarthy
1984,22,College (FBS),Western Michigan,Running Backs/Outside Linebackers,John Harbaugh
1985,23,College (FBS),Western Michigan,Running Backs/Outside Linebackers,John Harbaugh
1986,24,College (FBS),Western Michigan,Running Backs/Outside Linebackers,John Harbaugh
1987,25,College (FBS),Pittsburgh,Tight Ends,John Harbaugh
1988,26,College (FCS),Morehead State,Special Teams/Secondary,John Harbaugh
1989,27,College (FBS),Cincinnati,Special Teams Coordinator,John Harbaugh
1990,28,College (FBS),Cincinnati,Special Teams Coordinator,John Harbaugh
1991,29,College (FBS),Cincinnati,Special Teams Coordinator,John Harbaugh
1992,30,College (FBS),Cincinnati,Special Teams Coordinator,John Harbaugh
1993,31,College (FBS),Cincinnati,Special Teams Coordinator,John Harbaugh
1994,32,College (FBS),Cincinnati,Special Teams Coordinator,John Harbaugh
1995,33,College (FBS),Cincinnati,Special Teams Coordinator,John Harbaugh
1996,34,College (FBS),Cincinnati,Special Teams Coordinator,John Harbaugh
1997,35,College (FBS),Indiana,Special Teams Coordinator/Defensive Backs,John Harbaugh
1998,36,NFL,Philadelphia Eagles,Special Teams Coordinator,John Harbaugh
1999,37,NFL,Philadelphia Eagles,Special Teams Coordinator,John Harbaugh
2000,38,NFL,Philadelphia Eagles,Special Teams Coordinator,John Harbaugh
2001,39,NFL,Philadelphia Eagles,Special Teams Coordinator,John Harbaugh
2002,40,NFL,Philadelphia Eagles,Special Teams Coordinator,John Harbaugh
2003,41,NFL,Philadelphia Eagles,Special Teams Coordinator,John Harbaugh
2004,42,NFL,Philadelphia Eagles,Special Teams Coordinator,John Harbaugh
2005,43,NFL,Philadelphia Eagles,Special Teams Coordinator,John Harbaugh
2006,44,NFL,Philadelphia Eagles,Special Teams Coordinator,John Harbaugh
2007,45,NFL,Philadelphia Eagles,Defensive Backs,John Harbaugh
2008,46,NFL,Baltimore Ravens,Head Coach,John Harbaugh
2009,47,NFL,Baltimore Ravens,Head Coach,John Harbaugh
2010,48,NFL,Baltimore Ravens,Head Coach,John Harbaugh
2011,49,NFL,Baltimore Ravens,Head Coach,John Harbaugh
2012,50,NFL,Baltimore Ravens,Head Coach,John Harbaugh
2013,51,NFL,Baltimore Ravens,Head Coach,John Harbaugh
2014,52,NFL,Baltimore Ravens,Head Coach,John Harbaugh
2015,53,NFL,Baltimore Ravens,Head Coach,John Harbaugh
2016,54,NFL,Baltimore Ravens,Head Coach,John Harbaugh
2017,55,NFL,Baltimore Ravens,Head Coach,John Harbaugh
2018,56,NFL,Baltimore Ravens,Head Coach,John Harbaugh
2019,57,NFL,Baltimore Ravens,Head Coach,John Harbaugh
2020,58,NFL,Baltimore Ravens,Head Coach,John Harbaugh
2021,59,NFL,Baltimore Ravens,Head Coach,John Harbaugh
2022,60,NFL,Baltimore Ravens,Head Coach,John Harbaugh
1997,35,NFL,Chicago Bears,Defensive Quality Control,Ron Rivera
1998,36,NFL,Chicago Bears,Defensive Quality Control,Ron Rivera
1999,37,NFL,Philadelphia Eagles,Linebackers,Ron Rivera
2000,38,NFL,Philadelphia Eagles,Linebackers,Ron Rivera
2001,39,NFL,Philadelphia Eagles,Linebackers,Ron Rivera
2002,40,NFL,Philadelphia Eagles,Linebackers,Ron Rivera
2003,41,NFL,Philadelphia Eagles,Linebackers,Ron Rivera
2004,42,NFL,Chicago Bears,Defensive Coordinator,Ron Rivera
2005,43,NFL,Chicago Bears,Defensive Coordinator,Ron Rivera
2006,44,NFL,Chicago Bears,Defensive Coordinator,Ron Rivera
2007,45,NFL,San Diego Chargers,Linebackers,Ron Rivera
2008,46,NFL,San Diego Chargers,Defensive Coordinator,Ron Rivera
2009,47,NFL,San Diego Chargers,Defensive Coordinator,Ron Rivera
2010,48,NFL,San Diego Chargers,Defensive Coordinator,Ron Rivera
2011,49,NFL,Carolina Panthers,Head Coach,Ron Rivera
2012,50,NFL,Carolina Panthers,Head Coach,Ron Rivera
2013,51,NFL,Carolina Panthers,Head Coach,Ron Rivera
2014,52,NFL,Carolina Panthers,Head Coach,Ron Rivera
2015,53,NFL,Carolina Panthers,Head Coach,Ron Rivera
2016,54,NFL,Carolina Panthers,Head Coach,Ron Rivera
2017,55,NFL,Carolina Panthers,Head Coach,Ron Rivera
2018,56,NFL,Carolina Panthers,Head Coach,Ron Rivera
2019,57,NFL,Carolina Panthers,Head Coach,Ron Rivera
2020,58,NFL,Washington Football Team,Head Coach,Ron Rivera
2021,59,NFL,Washington Football Team,Head Coach,Ron Rivera
2022,60,NFL,Washington Commanders,Head Coach,Ron Rivera
1975,23,College,Virginia Tech,Graduate Assistant,Bruce Arians
1976,24,College,Virginia Tech,Graduate Assistant,Bruce Arians
1977,25,College,Virginia Tech,Graduate Assistant,Bruce Arians
1978,26,College,Mississippi State,RB/WR,Bruce Arians
1979,27,College,Mississippi State,RB/WR,Bruce Arians
1980,28,College,Mississippi State,RB/WR,Bruce Arians
1981,29,College,Alabama,Running Backs,Bruce Arians
1982,30,College,Alabama,Running Backs,Bruce Arians
1983,31,College,Temple,Head Coach,Bruce Arians
1984,32,College,Temple,Head Coach,Bruce Arians
1985,33,College,Temple,Head Coach,Bruce Arians
1986,34,College,Temple,Head Coach,Bruce Arians
1987,35,College,Temple,Head Coach,Bruce Arians
1988,36,College,Temple,Head Coach,Bruce Arians
1989,37,NFL,Kansas City Chiefs,Running Backs,Bruce Arians
1990,38,NFL,Kansas City Chiefs,Running Backs,Bruce Arians
1991,39,NFL,Kansas City Chiefs,Running Backs,Bruce Arians
1992,40,NFL,Kansas City Chiefs,Running Backs,Bruce Arians
1993,41,College,Mississippi State,Offensive Coordinator,Bruce Arians
1994,42,College,Mississippi State,Offensive Coordinator,Bruce Arians
1995,43,College,Mississippi State,Offensive Coordinator,Bruce Arians
1996,44,NFL,New Orleans Saints,Tight Ends,Bruce Arians
1997,45,College,Alabama,Offensive Coordinator,Bruce Arians
1998,46,NFL,Indianapolis Colts,Quarterbacks,Bruce Arians
1999,47,NFL,Indianapolis Colts,Quarterbacks,Bruce Arians
2000,48,NFL,Indianapolis Colts,Quarterbacks,Bruce Arians
2001,49,NFL,Cleveland Browns,Offensive Coordinator,Bruce Arians
2002,50,NFL,Cleveland Browns,Offensive Coordinator,Bruce Arians
2003,51,NFL,Cleveland Browns,Offensive Coordinator,Bruce Arians
2004,52,NFL,Pittsburgh Steelers,Wide Receivers,Bruce Arians
2005,53,NFL,Pittsburgh Steelers,Wide Receivers,Bruce Arians
2006,54,NFL,Pittsburgh Steelers,Wide Receivers,Bruce Arians
2007,55,NFL,Pittsburgh Steelers,Offensive Coordinator,Bruce Arians
2008,56,NFL,Pittsburgh Steelers,Offensive Coordinator,Bruce Arians
2009,57,NFL,Pittsburgh Steelers,Offensive Coordinator,Bruce Arians
2010,58,NFL,Pittsburgh Steelers,Offensive Coordinator,Bruce Arians
2011,59,NFL,Pittsburgh Steelers,Offensive Coordinator,Bruce Arians
2012,60,NFL,Indianapolis Colts,Offensive Coordinator/Interim Head Coach,Bruce Arians
2013,61,NFL,Arizona Cardinals,Head Coach,Bruce Arians
2014,62,NFL,Arizona Cardinals,Head Coach,Bruce Arians
2015,63,NFL,Arizona Cardinals,Head Coach,Bruce Arians
2016,64,NFL,Arizona Cardinals,Head Coach,Bruce Arians
2017,65,NFL,Arizona Cardinals,Head Coach,Bruce Arians
2019,67,NFL,Tampa Bay Buccaneers,Head Coach,Bruce Arians
2020,68,NFL,Tampa Bay Buccaneers,Head Coach,Bruce Arians
2021,69,NFL,Tampa Bay Buccaneers,Head Coach,Bruce Arians
2008,22,NFL,Tampa Bay Buccaneers,Asst. Wide Receivers,Sean McVay
2009,23,UFL,Florida Tuskers,Wide Receivers,Sean McVay
2010,24,NFL,Washington Redskins,Asst. Tight Ends,Sean McVay
2011,25,NFL,Washington Redskins,Tight Ends,Sean McVay
2012,26,NFL,Washington Redskins,Tight Ends,Sean McVay
2013,27,NFL,Washington Redskins,Tight Ends,Sean McVay
2014,28,NFL,Washington Redskins,Offensive Coordinator,Sean McVay
2015,29,NFL,Washington Redskins,Offensive Coordinator,Sean McVay
2016,30,NFL,Washington Redskins,Offensive Coordinator,Sean McVay
2017,31,NFL,Los Angeles Rams,Head Coach,Sean McVay
2018,32,NFL,Los Angeles Rams,Head Coach,Sean McVay
2019,33,NFL,Los Angeles Rams,Head Coach,Sean McVay
2020,34,NFL,Los Angeles Rams,Head Coach,Sean McVay
2021,35,NFL,Los Angeles Rams,Head Coach,Sean McVay
2022,36,NFL,Los Angeles Rams,Head Coach,Sean McVay
1998,24,College (FCS),William & Mary,Graduate Assistant,Sean McDermott
1999,25,NFL,Philadelphia Eagles,Scouting Coordinator,Sean McDermott
2000,26,NFL,Philadelphia Eagles,Scouting Coordinator,Sean McDermott
2001,27,NFL,Philadelphia Eagles,Asst. to the Head Coach,Sean McDermott
2002,28,NFL,Philadelphia Eagles,Defensive Quality Control,Sean McDermott
2003,29,NFL,Philadelphia Eagles,Defensive Quality Control,Sean McDermott
2004,30,NFL,Philadelphia Eagles,Asst. DB Coach,Sean McDermott
2005,31,NFL,Philadelphia Eagles,Asst. DB Coach,Sean McDermott
2006,32,NFL,Philadelphia Eagles,Asst. DB Coach,Sean McDermott
2007,33,NFL,Philadelphia Eagles,Secondary,Sean McDermott
2008,34,NFL,Philadelphia Eagles,Linebackers,Sean McDermott
2009,35,NFL,Philadelphia Eagles,Defensive Coordinator,Sean McDermott
2010,36,NFL,Philadelphia Eagles,Defensive Coordinator,Sean McDermott
2011,37,NFL,Carolina Panthers,Defensive Coordinator,Sean McDermott
2012,38,NFL,Carolina Panthers,Defensive Coordinator,Sean McDermott
2013,39,NFL,Carolina Panthers,Defensive Coordinator,Sean McDermott
2014,40,NFL,Carolina Panthers,Defensive Coordinator,Sean McDermott
2015,41,NFL,Carolina Panthers,Defensive Coordinator,Sean McDermott
2016,42,NFL,Carolina Panthers,Defensive Coordinator,Sean McDermott
2017,43,NFL,Buffalo Bills,Head Coach,Sean McDermott
2018,44,NFL,Buffalo Bills,Head Coach,Sean McDermott
2019,45,NFL,Buffalo Bills,Head Coach,Sean McDermott
2020,46,NFL,Buffalo Bills,Head Coach,Sean McDermott
2021,47,NFL,Buffalo Bills,Head Coach,Sean McDermott
2022,48,NFL,Buffalo Bills,Head Coach,Sean McDermott
2011,36,College (FBS),Ohio State,Linebackers,Mike Vrabel
2012,37,College (FBS),Ohio State,Defensive Line,Mike Vrabel
2013,38,College (FBS),Ohio State,Defensive Line,Mike Vrabel
2014,39,NFL,Houston Texans,Linebackers,Mike Vrabel
2015,40,NFL,Houston Texans,Linebackers,Mike Vrabel
2016,41,NFL,Houston Texans,Linebackers,Mike Vrabel
2017,42,NFL,Houston Texans,Defensive Coordinator,Mike Vrabel
2018,43,NFL,Tennessee Titans,Head Coach,Mike Vrabel
2019,44,NFL,Tennessee Titans,Head Coach,Mike Vrabel
2020,45,NFL,Tennessee Titans,Head Coach,Mike Vrabel
2021,46,NFL,Tennessee Titans,Head Coach,Mike Vrabel
2022,47,NFL,Tennessee Titans,Head Coach,Mike Vrabel
2003,24,College (NCAA D-II),Saginaw Valley State,Offensive Assistant,Matt LaFleur
2004,25,College (FBS),Central Michigan,Offensive Assistant,Matt LaFleur
2005,26,College (FBS),Central Michigan,Offensive Assistant,Matt LaFleur
2006,27,College (NCAA D-II),Northern Michigan,Quarterbacks/Wide Receivers,Matt LaFleur
2007,28,College (NCAA D-II),Ashland,Offensive Coordinator,Matt LaFleur
2008,29,NFL,Houston Texans,Offensive Quality Control,Matt LaFleur
2009,30,NFL,Houston Texans,Offensive Quality Control,Matt LaFleur
2010,31,NFL,Washington Redskins,Quarterbacks,Matt LaFleur
2011,32,NFL,Washington Redskins,Quarterbacks,Matt LaFleur
